name,municipality,iata_code
Mount Pleasant/Scottdale Airport,Mount Pleasant,
Pleasant Valley Airport,Peoria,
Penn's Landing Heliport,Philadelphia,
Flying M Aerodrome,Germansville,
Jersey Shore Airport,Jersey Shore,
Prairie Ronde Airport,Schoolcraft,
Southern Adams County Heliport,Gettysburg,
W.P.H.S. Heliport,Mount Pleasant,
Achutupo Airport,Achutupo,ACU
Aguadulce Airport,Aguadulce,
Alligandi Airport,Alligandi,AIL
Carti Airport,Carti,CTE
Corazón de Jesús Airport,Nurna,
Finca Blanco Airport,Finca Blanco,
Finca Fátima Airport,Finca Fátima,
La Joya Airport,La Joya,
La Plantación Airport,La Plantación,
Mandinga Airport,Mandinga,
Mulatupo Airport,Mulatupo,
Nargana Airport,Nargana,
Playón Chico Airport,Playón Chico,PYC
Río Azúcar Airport,Río Azúcar,
Rio Sidra Airport,Rio Sidra,
Río Tigre Airport,Río Tigre,
San Miguel Airport,San Miguel,
Tubala Airport,Tubala,
Tupile Airport,Tupile,
Ustupo Airport,Ustupo,
Wakitupu Airport,Wakitupu,
Yaviza Airport,Yaviza,
Puerto Armuelles Airport,Puerto Armuelles,AML
Bahia Piña Airport,Bahia Piña,BFQ
EL Real Airport,El Real,ELE
Miraflores Airport,Miraflores,
Contadora Airport,Contadora Island,OTD
Sambu Airport,Boca de Sábalo,SAX
Merrys Pymatuning Airport,Linesville,
Dillen Personal Airport,Mc Kean,
Hospital of Univ. of Pa Heliport,Philadelphia,
Brookville Hospital Heliport,Brookville,
Monesmith Airport,Point Pleasant,
Bilinski Airport,Middleboro,
Jj & Pk Airport,Greencastle,
Hendrick Landing Area Heliport,Carbondale,
Du Bois Regional Medical Center Heliport,Du Bois,
The Gettysburg Hospital Heliport,Gettysburg,
Commonwealth Security Systems Heliport,Lancaster,
Superior Tours Heliport,Lancaster,
Battlefield Heliport,Gettysburg,
Couillard Seaplane Base,Martins Creek,
Shadyside Health Education & Research Corp Heliport,Pittsburgh,
Canaan's Field,Lawrenceville,
Buzzards Field,Mill Hall,
Strizki Ultralightport,Elkdale,
Thermal G. Ranch Gliderport,Erie,
West Middlesex Airport,West Middlesex,
Hermitage Airport,Sharon,
Kingsdale Air Park,Littlestown,
Latrobe Hospital Heliport,Latrobe,
Cuatros Vientos Airport,Quaker City,
Wxkw Heliport,Allentown,
Butz Heliport,Allentown,
Westmoreland Hospital Heliport,Greensburg,
Frick Hospital & Community Health Center Heliport,Mount Pleasant,
East Penn Airport,Andreas,
Rover Airport,Annville,
Ashland Regional Medical Center Heliport,Ashland,
Lars/Private Airport,Athens,
T N Ward Heliport,Bala Cynwyd,
Bally Spring Farm Airport,Bally,
Stefanik Airport,Bedminster,
Sci-Mahanoy Heliport,Mahanoy,
Beaver Run Heliport,Quakertown,
Beaver Springs Airport,Benfer,
Benton Airport,Benton,
Butler Memorial Hospital Heliport,Butler,
Berwick Hospital Corporation Personal Use Heliport,Berwick,
Arnold Airport,Birdsboro,
Stone Castle Motel Airport,Bloomsburg,
Logue Airport,Bodines,
"Horizon Hospital System, Greenville Heliport",Greenville,
Cloudbound Airport,Gettysburg,
Holy Spirit Hospital Helipad,Harrisburg,
Mountain Bay Air Park Inc Airport,Hawley,
Bloomsburg Hospital Heliport,Bloomsburg,
Bowtie Airport,Biglerville,
Oberlander Airport,Union City,
Cosklos Elkview Airport,Carbondale,
Kellachows Airport,Carbondale,
Neiderer Airport,Carlisle,
Upmc Passavant Cranberry Heliport,Cranberry,
Grove City Medical Ctr Heliport,Grove City,
Rocktop Airport,Chambersburg,
Cast & Baker Heliport,Canonsburg,
Chambersburg Hospital Heliport,Chambersburg,
Kunda Airport,Collegeville,
Temple University Heliport,Philadelphia,
Wpxi-Tv Evergreen Road Heliport,Pittsburgh,
Cairnwood Heliport,Huntington Valley,
Hi-Vu Airport,Coplay,
Cumberland Valley Airstrip,Greencastle,
Allegheny Hospitals Canonsburg Heliport,Canonsburg,
Bugs Airport,Nazareth,
Vogelsong Airport,Dillsburg,
Fetters Construction Airport,Downingtown,
Dwight's Delight Airport,Dushore,
Circle W Airfield,East Berlin,
D.Evans Farm Airport,East Prospect,
Gusler Airport,Elizabethville/Halifax,
Baker Airport,Elkland,
Rosenzweig Airport,Wilkes Barre,
Erwinna Private Airport,Erwinna,
Tintinhull Airport,Erwinna,
Tinicum Farms Heliport,Erwinna,
St Luke's Hospital Heliport,Fountain Hill,
5 Lakes Airport,Fayetteville,
Grayce Farms Airport,Fleetville,
Skyview Heliport,Souderton,
Level Acres Farm Airport,Fordville,
Drewniany-Springmeadow Airport,Frederick,
Krill Personal Use Airport,Frystown,
At&T Solid State Tech Center Heliport,Breinigsville,
Nemacolin Airport,Farmington,
Ben's Landing Ultralightport,East Berlin,
Flat Rock Seaplane Base,Gladwyne,
Kane Community Hospital Heliport,Kane,
Blue Mountain Academy (Private) Airport,Hamburg,
Cherokee Heliport,Brick Church Village,
Sharon General Hospital Heliport,Sharon,
Turnpike Nr 1 Heliport,Harrisburg,
Warren General Hospital Heliport,Warren,
Wnep-Tv Heliport,Moosic,
Gnaden Huetten Memorial Hospital Heliport,Lehighton,
Atka Airport,Atka,AKB
Port Moller Airport,Cold Bay,PML
Driftwood Bay Air Force Station Airport,Dutch Harbor,
Gold King Creek Airport,Fairbanks,
Port Alexander Seaplane Base,Port Alexander,PTD
Palmer Municipal Airport,Palmer,PAQ
Casco Cove Coast Guard Station,Attu,ATU
Barter Island LRRS Airport,Barter Island Lrrs,BTI
Bethel Airport,Bethel,BET
Beluga Airport,Beluga,BVU
Allen Army Airfield,Delta Junction Ft Greely,BIG
Buckland Airport,Buckland,BKC
Big Mountain Airport,Big Mountain,BMX
Badami Airport,Deadhorse,
Wiley Post Will Rogers Memorial Airport,Barrow,BRW
Bettles Airport,Bettles,BTT
Bullen Point Air Force Station Airport,Kaktovik,
Birchwood Airport,Birchwood,
Cold Bay Airport,Cold Bay,CDB
Central Airport,Central,CEM
Chalkyitsik Airport,Chalkyitsik,CIK
Chefornak Airport,Chefornak,CYF
Clear Airport,Clear,
Scammon Bay Airport,Scammon Bay,SCM
Circle City /New/ Airport,Circle,IRC
Cape Sarichef Airport,Cape Sarichef,
Merle K (Mudhole) Smith Airport,Cordova,CDV
Coldfoot Airport,Coldfoot,CXF
Yakataga Airport,Yakataga,CYT
Cape Romanzof LRRS Airport,Cape Romanzof,CZF
Deering Airport,Deering,DRG
Red Dog Airport,Red Dog,RDB
Adak Airport,Adak Island,ADK
Dillingham Airport,Dillingham,DLG
Marshall Don Hunter Sr Airport,Marshall,
Kodiak Airport,Kodiak,ADQ
Unalaska Airport,Unalaska,DUT
Kongiganak Airport,Kongiganak,KKH
Elmendorf Air Force Base,Anchorage,EDF
Eek Airport,Eek,EEK
Eagle Airport,Eagle,EAA
Cape Newenham LRRS Airport,Cape Newenham,EHM
Eielson Air Force Base,Fairbanks,EIL
Elfin Cove Seaplane Base,Elfin Cove,ELV
Emmonak Airport,Emmonak,EMK
Kenai Municipal Airport,Kenai,ENA
Newtok Airport,Newtok,
Fairbanks International Airport,Fairbanks,FAI
Ladd AAF Airfield,Fairbanks/Ft Wainwright,FBK
Kake Airport,Kake,
Farewell Lake Seaplane Base,Farewell Lake,
Tin Creek Airport,Farewell Lake,
Ambler Airport,Ambler,ABL
Bryant Army Heliport,Fort Richardson(Anchorage),FRN
Nikolai Airport,Nikolai,
Five Mile Airport,Five Mile,FMC
Farewell Airport,Farewell,FWL
Edward G. Pitka Sr Airport,Galena,GAL
Galbraith Lake Airport,Galbraith Lake,GBH
Kwigillingok Airport,Kwigillingok,
Shungnak Airport,Shungnak,
Gulkana Airport,Gulkana,GKN
Golovin Airport,Golovin,GLV
Gambell Airport,Gambell,GAM
Angoon Seaplane Base,Angoon,AGN
Big Lake Airport,Big Lake,BGQ
Gustavus Airport,Gustavus,GST
Nightmute Airport,Nightmute,
Skagway Airport,Skagway,SGY
Holy Cross Airport,Holy Cross,HCR
Huslia Airport,Huslia,HSL
Haines Airport,Haines,HNS
Homer Airport,Homer,HOM
Hooper Bay Airport,Hooper Bay,HPB
Hughes Airport,Hughes,HUS
Healy River Airport,Healy,
Shageluk Airport,Shageluk,SHX
Hydaburg Seaplane Base,Hydaburg,HYG
Barton Heliport,Pacoima,
Igiugig Airport,Igiugig,IGG
Egegik Airport,Egegik,EGX
Bob Baker Memorial Airport,Kiana,IAN
Iliamna Airport,Iliamna,ILI
Indian Mountain LRRS Airport,Utopia Creek,UTO
McKinley National Park Airport,McKinley Park,MCL
Wales Airport,Wales,WAA
Chignik Airport,Chignik,
Juneau International Airport,Juneau,JNU
Jonesville Mine Airport,Sutton,
Koliganek Airport,Koliganek,KGK
Kodiak Municipal Airport,Kodiak,KDK
False Pass Airport,False Pass,KFP
Akhiok Airport,Akhiok,AKK
Kipnuk Airport,Kipnuk,KPN
Koyuk Alfred Adams Airport,Koyuk,KKA
Kulik Lake Airport,Kulik Lake,LKK
King Salmon Airport,King Salmon,AKN
Nikolski Air Station,Nikolski,IKO
Anaktuvuk Pass Airport,Anaktuvuk Pass,AKP
Ketchikan International Airport,Ketchikan,KTN
Ugnu-Kuparuk Airport,Kuparuk,UUK
Kaltag Airport,Kaltag,KAL
Klawock Airport,Klawock,KLW
Karluk Airport,Karluk,KYK
Larsen Bay Airport,Larsen Bay,KLN
Kalskag Airport,Kalskag,KLG
Lake Hood Seaplane Base,Anchorage,
Alpine Airstrip,Deadhorse,DQH
Chandalar Lake Airport,Chandalar Lake,WCR
Cape Lisburne LRRS Airport,Cape Lisburne,LUR
Manokotak Airport,Manokotak,KMO
McGrath Airport,McGrath,MCG
Middleton Island Airport,Middleton Island,MDO
Minchumina Airport,Minchumina,
St Michael Airport,St Michael,
Manley Hot Springs Airport,Manley Hot Springs,MLY
Metlakatla Seaplane Base,Metlakatla,
Mountain Village Airport,Mountain Village,MOU
Merrill Field,Anchorage,MRI
Mc Carthy Airport,Mccarthy,
Mekoryuk Airport,Mekoryuk,MYU
Napakiak Airport,Napakiak,WNA
Ted Stevens Anchorage International Airport,Anchorage,ANC
Aniak Airport,Aniak,ANI
Nenana Municipal Airport,Nenana,ENN
Nondalton Airport,Nondalton,
Funter Bay Seaplane Base,Funter Bay,FNR
Annette Island Airport,Annette,ANN
Nulato Airport,Nulato,
Anvik Airport,Anvik,ANV
New Stuyahok Airport,New Stuyahok,KNW
Kobuk Airport,Kobuk,OBU
Portage Creek Airport,Portage Creek,PCA
Hoonah Airport,Hoonah,HNH
Nome Airport,Nome,OME
Toksook Bay Airport,Toksook Bay,OOK
Northway Airport,Northway,ORT
Ralph Wien Memorial Airport,Kotzebue,OTZ
Nelson Lagoon Airport,Nelson Lagoon,
St George Airport,St George,STG
Port Clarence Coast Guard Station,Port Clarence,KPC
Perryville Airport,Perryville,KPV
Petersburg James A Johnson Airport,Petersburg,PSG
Port Heiden Airport,Port Heiden,PTH
Napaskiak Airport,Napaskiak,PKA
Platinum Airport,Platinum,PTU
Pilot Point Airport,Pilot Point,PIP
Point Hope Airport,Point Hope,PHO
Prospect Creek Airport,Prospect Creek,
Klawock Seaplane Base,Klawock,
Quinhagak Airport,Quinhagak,KWN
Nuiqsut Airport,Nuiqsut,NUI
Arctic Village Airport,Arctic Village,ARC
Russian Mission Airport,Russian Mission,
Ruby Airport,Ruby,RBY
Savoonga Airport,Savoonga,SVA
Deadhorse Airport,Deadhorse,SCC
Sand Point Airport,Sand Point,SDP
Shishmaref Airport,Shishmaref,SHH
Sitka Rocky Gutierrez Airport,Sitka,SIT
Selawik Airport,Selawik,WLK
Sleetmute Airport,Sleetmute,SQL
St Mary's Airport,St Mary's,KSM
St Paul Island Airport,St Paul Island,SNP
Seldovia Airport,Seldovia,
Sheep Mountain Airport,Sheep Mountain,SMU
Summit Airport,Summit,UMM
Sparrevohn LRRS Airport,Sparrevohn,SVW
Skwentna Airport,Skwentna,SKW
Soldotna Airport,Soldotna,SXQ
Eareckson Air Station,Shemya,SYA
Ralph M Calhoun Memorial Airport,Tanana,TAL
Tin City Long Range Radar Station Airport,Tin City,TNC
Teller Airport,Teller,TLA
Togiak Airport,Togiak Village,TOG
Tok Airport,Tok,TKJ
Talkeetna Airport,Talkeetna,
Tatalina LRRS Airport,Takotna,TLJ
Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,ATK
Cantwell Airport,Cantwell,
Alakanuk Airport,Alakanuk,AUK
Umiat Airport,Umiat,UMT
Unalakleet Airport,Unalakleet,UNK
Willow Airport,Willow,WOW
Akun Airport,Akutan,
Chevak Airport,Chevak,VAK
King Cove Airport,King Cove,KVC
Valdez Pioneer Field,Valdez,VDZ
Venetie Airport,Venetie,VEE
Kivalina Airport,Kivalina,KVL
Beaver Airport,Beaver,WBQ
Seward Airport,Seward,SWD
Wrangell Airport,Wrangell,WRG
Wainwright Airport,Wainwright,AIN
White Mountain Airport,White Mountain,WMO
Noatak Airport,Noatak,WTK
Whittier Airport,Whittier,
Wasilla Airport,Wasilla,WWA
Wainwright Air Station,Wainwright,
Paxson Airport,Paxson,
Yakutat Airport,Yakutat,YAK
Baker AAF,Baker Island,BAR
Canton Island Airport,Abariringa,CIS
Porcupine Creek Airport,Porcupine Creek,
Punta Colorada Airport,La Ribera,PCO
Bounneau Airport,Phongsaly,PCQ
Pindiu Airport,Pindiu,PDI
Machu Pichu Airport,Machu Pichu,MFT
Pelican Seaplane Base,Pelican,
Akiak Airport,Akiak,AKI
Allakaket Airport,Allakaket,AET
Pacific City State Airport,Pacific City,PFC
Chenega Bay Airport,Chenega,NCN
Clarks Point Airport,Clarks Point,CLP
Elim Airport,Elim,ELI
Kasigluk Airport,Kasigluk,KUK
Kokhanok Airport,Kokhanok,KNK
Kotlik Airport,Kotlik,KOT
Brevig Mission Airport,Brevig Mission,KTS
Koyukuk Airport,Koyukuk,KYU
Kwethluk Airport,Kwethluk,KWT
Robert (Bob) Curtis Memorial Airport,Noorvik,ORV
Shaktoolik Airport,Shaktoolik,SKK
Tok Junction Airport,Tok,
South Naknek Nr 2 Airport,South Naknek,WSN
Fort Yukon Airport,Fort Yukon,FYU
Agali Airstrip,,
Agotu Airstrip,Agotu,
Akwom Airstrip,,
Ali Airstrip,Ali,
Cape Rodney Airport,Cape Rodney,CPN
Emirau Airport,Emirau Island,EMI
Erave Airport,Erave,ERE
Esa'ala Airport,Esa'ala,ESA
Garaina Airport,Garaina,GAR
Gobe Airport,Gobe,
Gonaili Airport,Gonaili,GOE
Ambua Airstrip,Ambua Lodge - Tari,
Ambaluwa Airstrip,Ambulua,
Anangalo Airstrip,,
Ande Airstrip,Sindeni,
Arufi Airstrip,Arufi,
Asama Airstrip,,
Asimba Airstrip,Asimba,
Assengseng Airstrip,Assengseng,
Bapi Airstrip,Bapi,BPD
Benaria Airstrip,Tamide Mission,
Biangabip Airport,Biangabip,BPK
Bili Airstrip,Bili,
Wobagen Airstrip,,
Bisorio Airstrip,,
Boikoa Airstrip,Boikoa,
Bosavi Airstrip,Ludesa Mission,
Boure Airstrip,Boure,
Jangit Airstrip,,
Junkaral Airstrip,Junkaral,
Kabori Airstrip,Kabori,
Dahamo Airstrip,Dahamo Village,
Lumusa Airstrip,Lumusa,
Malamaunda Airstrip,,
Nowata Airport,,NWT
Pasinkap Airstrip,Pasinkap,
Purari Airstrip,,
Sengapi Airstrip,Sengapi,SGK
Kafa Airstrip,Kafa,
Kaibo Airstrip,,
Kairik Airstrip,Porgera Mine,
Gubil Airstrip,Bufripmin/Usareimin,
Gubam Airstrip,Gubam,
Duranmin Airstrip,Duranmin,
Bank Airstrip,Bank,
Appa Airstrip,,
Arkosame Airstrip,,
Kibuli Airstrip,Kibuli,KII
Kiriwo Airstrip,Kiriwa,
Owena Airstrip,Owenia,
Kibeni Airstrip,Kibeni,
Kilifas Airstrip,Kilifas,
Oriomo Airstrip,Oriomo,
Pukapuki Airstrip,Pukapuki Vilage,
Samban Airstrip,Samban School,
Asinuwa Airstrip,Amjenuwa,
Auwi Airstrip,Auwi,
Aziana Airstrip,Aziana Mission,
Baina Airstrip,Baina,
Bu'u Airstrip,Bu'u,
Berry Airfield,Port Moresby,
Lorengau Airfield,Lorengau,
Kerevat Airfield,,
Dodomona Airstrip,Dodomona,
Fiyak Airstrip,Fiyak,
Fugwa Airstrip,Koroba,
Giramben Airstrip,Giramben,
Idam Airstrip,Idam,
Kelabo Airstrip,Kelabo,
Panasesa Airstrip,Panasesa Island,
Pori Airstrip,Pori,
Yehebi Airstrip,Yehebi,
Basikuna Airstrip,Basikuna,
Angai Airstrip,Angai,
Dona Airstrip,Dona,
Mapaio Airstrip,Mapaio Village,
Arisili Airstrip,Arisili,
Tau Airstrip,Tauhimbier,
Aro Airstrip,Aro,
Awala Airstrip,Sinua Valley,
Babmo Airstrip,Babmo Mission,
Muschu Airstrip,Muschu Island,
Anguganak Airport,Anguganak,AKG
Tadji Airport,Aitape,TAJ
Awaba Airport,Awaba,AWB
Bialla Airport,"Bialla, Matalilu, Ewase",BAA
Chungribu Airport,Chungribu,CVB
Gasmata Island Airport,Gasmata Island,GMI
Green River Airport,Green River,GVI
Hayfields Airport,Bainyik,HYF
Ihu Airport,Ihu,IHU
Nissan Island Airport,Nissan Island,IIS
Jacquinot Bay Airport,Jacquinot Bay,JAQ
Kandrian Airport,Kandrian,KDR
Kokoda Airport,Kokoda,KKD
Kamusi Airport,Kamusi,KUY
Kawito Airport,Kawito,KWO
Karoola Airport,Buka Island,KXR
Lumi Airport,Lumi,LMI
Lake Murray Airport,Lake Murray,LMY
Obo Airport,Obo,OBX
Balimo Airport,Balimo,OPU
Suki Airport,Suki,SKC
Tufi Airport,Tufi,TFI
Telefomin Airport,Telefomin,TFM
Tol Airport,Tol,TLO
Nuku Airport,Nuku,UKU
Sule Airport,Sule,ULE
Baimuru Airport,Baimuru,VMU
Wipim Airport,Wipim,WPM
Yegepa Airport,,PGE
Port Graham Airport,Port Graham,
Rota International Airport,Rota Island,ROP
Saipan International Airport,Saipan Island,SPN
Andersen Air Force Base,"Andersen,Mariana Island",UAM
Antonio B. Won Pat International Airport,"Hagåtña, Guam International Airport",GUM
Tinian International Airport,Tinian Island,TIQ
Laguindingan Airport,Cagayan de Oro City,CGY
Dalupuri Island National Airport,San Antonio,
Azagra Airstrip,Sibuyan Island,
Wao Airport,,
Pamalican Airstrip,Cuyo,
El Nido Airport,El Nido,ENI
Barking Sands Airport,Kekaha,BKH
Dillingham Airfield,Mokuleia,HDH
Port Harcourt City Airport,Port Harcourt,PHG
French Frigate Shoals Airport,Tern Island,
Wheeler Army Airfield,Wahiawa,HHI
Hana Airport,Hana,HNM
Kapalua Airport,Lahaina,JHM
Kalaeloa Airport,Kapolei,JRF
Kona International At Keahole Airport,Kailua/Kona,KOA
Lihue Airport,Lihue,LIH
Kalaupapa Airport,Kalaupapa,LUP
Molokai Airport,Kaunakakai,MKK
Waimea Kohala Airport,Kamuela,MUE
Kaneohe Bay MCAS (Marion E. Carl Field) Airport,Kaneohe,
Honolulu International Airport,Honolulu,HNL
Ford Island Naval Auxiliary Landing Field,Honolulu,
Lanai Airport,Lanai City,LNY
Kahului Airport,Kahului,OGG
Port Allen Airport,Hanapepe,PAK
Bradshaw Army Airfield,Camp Pohakuloa,BSF
Hilo International Airport,Hilo,ITO
Upolu Airport,Hawi,UPP
Johnston Atoll Airport,Johnston Atoll,JON
(Under construction) New Islamabad International Airport,Islamabad,
Basal Airport,Basal,
Dalbandin Heliport,Dalbandin,
Gilgit Heliport,Gilgit,
Gurha Salim Heliport,Gurha Salim,
Kharan East Airport,Kharan,
Korangi Creek Heliport,Karachi,
Mari Indus East,Kalabagh,
Murid Airport,Murid,
Nushki Heliport,Nushki,
Walton Heliport,Walton,
Wateji Airport,Wateji,
Sialkot Cantonment Airport,Sialkot,
Khanpur Airport,Khanpur,
Bhurban Heliport,Bhurban,BHC
Campbellpore Airport,Campbellpore,CWP
Gujrat Airport,Gujrat,GRT
Mansehra Airport,Mansehra,HRA
Kadanwari Airport,Kadanwari,KCF
Reko Diq Airport,Chagai,REQ
Sawan Airport,Sawan,RZS
Shikarpur Airport,Shikarpur,SWV
Eniwetok Airport,Eniwetok Atoll,ENT
Marshall Islands International Airport,Majuro Atoll,MAJ
Dyess Army Air Field,Roi-Namur,
Kaieteur International Airport,Kaieteur Falls,KAI
Bucholz Army Air Field,Kwajalein,KWA
Bednary Airfield,Pobiedziska,
Ko?obrzeg-Bagicz,,
P?oty  (Maków),,
Borsk Air Base,Czersk,
Broczyno Air Base,Czaplinek,
Brzeg-Skarbimierz Air Base,Brzeg,
Chojna Air Base,Chojna,
Chrcynno Airport,Nasielsk,
D?blin-U??ż Air Base,D?blin,
Debrzno Air Base,Debrzno,
Gda?sk-Wrzeszcz Air Base,Gda?sk,
Gosty?-Gola Air Base,Gosty?,
Gorzów-Wojcieszyce Airport (under construction),Gorzów,
Brzezie Highway Strip,Bia?y Bór,
Chociw  (Kanice) Highway Strip,Tomaszów Mazowiecki,
Debrzno  (S?upia) Highway Strip,Debrzno,
D?bnica Kaszubska Highway Strip,S?upsk,
Gdynia  (Rumia) Highway Strip,Gdynia,
Granowo Highway Strip,Grodzisk Wielkopolski,
Jaros?awiec Highway Strip,Dar?owo,
Kliniska  (Szczecin) Highway Strip,Szczecin,
Koronowo Highway Strip,Koronowo,
Leszno  (Rydzyna) Highway Strip,Leszno,
?uk?cin  (Pobierowo) Highway Strip,Kamie? Pomorski,
Machliny Highway Strip,Czaplinek,
Mieszkowice Highway Strip,Mieszkowice,
Miros?awiec  (Nowe Laski) Highway Strip,Miros?awiec,
Mostowo Highway Strip,Koszalin,
Osie  (Lipinki) Highway Strip,?wiecie,
Ostrowy  (?obodno) Highway Strip,K?obuck,
Rossoszyca  (Warta) Highway Strip,Sieradz,
?roda ?l?ska  (Komorniki) Highway Strip,?roda ?l?ska,
Wielbark Highway Strip,Wielbark,
Wrze?nia Highway Strip,Wrze?nia,
Aleksandrów ?ódzki Airport,Aleksandrów ?ódzki,
Bia?ousy Airport,Sokó?ka,
Bezmiechowa Airport,Lesko,
Brochocin Airport,Z?otoryja,
Chojne Airport,Sieradz,
D?bica Airport,Bia?ogard,
D?blin-Podlodów Airport,D?blin,
D?bno Polskie Airport,Rawicz,
Goszczanów Airport,Warta,
Jaworze Airport,Recz,
Kraków-??g Airport,Kraków,
Kroczewo Airport,Zakroczym,
Krzewica Airport,Mi?dzyrzec Podlaski,
?agowo Airport,Dolsk,
Mi?dzylesie Airport,Warsaw,
Nadarzyce Poligon Airport,Wa?cz,
Namys?ów Airport,Namys?ów,
O?awa-Stanowice Field (closed),O?awa,
Orsk Airport,Szlichtyngowa,
Przasnysz Airport,Przasnysz,
Radzewice Airport,Mosina,
Radzy? Podlaski-Marynin Airport,Radzy? Podlaski,
Rostki Airport,Orzysz,
Skibno Airport,Sianów,
Smolnik Airport,Koma?cza,
Stare Drawsko Airport,Czaplinek,
Watorowo Airport,Che?mno,
Wejherowo Airport,Wejherowo,
Weremie? Airport,Lesko,
Wschowa-?ysiny Airport,Wschowa,
Wysokie Mazowieckie Airport,Wysokie Mazowieckie,
Zgorzelec-Żarska Wie? Airport,Zgorzelec,
Krzywa Air Base,Różyniec,
Gozdnica Airfield,Gozdnica,
Swiebodzice Airfield,?wiebodzice,
Szprotawa-Wiechlice Air Base,,
Bystrzyca Klodzka Airfield,Bystrzyca K?odzka,
Olesnica Air Base,Ole?nica,
Kakolewo Air Base,K?kolewo,
Przytoczna Airfield,Przytoczna,
Zerniki Gadki Airfield,G?dki,
Konstancin-Jeziorna Airfield,Konstancin-Jeziorna,
Cassidy International Airport,Banana,CXI
Paiela Airport,Paiela,PLE
Tabuaeran Island Airport,Tabuaeran Island,TNV
Palmyra (Cooper) Airport,Palmyra Island Atoll,
Washington Island Airstrip,Teraina,
Kure Airport,Kure Atoll,
Henderson Field,Sand Island,MDY
Pimaga Airport,Pimaga,PMP
Echo Airport,Morris,
Crosswinds Airfield,Sassamansville,
Cedar Run Airport,Dorseyville,
Offutt Acres Airport,East Brady,
Abington Memorial Hospital Heliport,Abington,
Strittmatter Airport,Ebensburg,
Fort Lee Heliport,Barnsboro,
Carlson Airport,Edinboro,
Cranes-N-Lifts Inc Heliport,White Haven,
Davis Airport,Chambersville,
Charles Cole Memorial Hospital Heliport,Coudersport,
Cash Creek Airport,Ulster,
Reno Airport,Enon Valley,
Sweet Valley Airport,Sweet Valley,
C & W Milliron Flying Field,Sigel,
Misty Hill Farm Airport,Ren Frew,
Greeley Airport,Coudersport,
Pabst Blue Ribbon Airport,Evans City,
Marsteller Airport,Stewartstown,
Fairview Evergreen Airport,Fairview,
Hunts Cove Seaplane Base,Foxburg,
Car Tech Heliport,Reading,
Mc Clure Airport,Troy,
University Of Pitt Medical Landing Area Heliport,Bradford,
Mercy Hospital Heliport,Pittsburgh,
Snider Seaplane Base,Freeport,
Lindsay Airport,Freeport,
St Clair Memorial Hospital Heliport,Pittsburgh,
Station 219 Heliport,Mercer,
Campbell's Heliport,Doylestown,
Lazy J Heliport,Moscow,
Schrenkel Airport,Cassville,
Sagulla Airport,Grove City,
Indiana Hospital Heliport,Indiana,
Branning Field,Honesdale,
Keystone Heliplex Heliport,Coatsville,
Flying R Airport,Harrisonville,
Rayne Airport,Home,
Fino Airport,Hookstown,
Culmerville Airport,Culmerville,
Exton Heliport,Exton,
Moorhead Airpark LLC,North East,
Practice Football Field,Indiana,
Sainovich Airport,Industry,
Merck/Upper Gwynedd Heliport,North Wales,
Wyoming Valley Medical Center Heliport,Wilkes-Barre,
River Hill Aviation Airport,Apollo,
Lohr's Landing Airport,Jennerstown,
Bullfly Ultralightport,Germansville,
Dunbar Airport,Kittanning,
Skyline Airstrip,Shoemakersville,
Summers Psnl Use Heliport,Linesville,
Mike's Heliport,Cochranville,
Strohmier Airport,Loretto,
Akm Airfield,Columia Cross Roads,
Skala Airport,Mc Clellandtown,
Miller Airport,Mahaffey,
Marion Center Speedway Airport,Marion Center,
Bittner/Whitsel Airport,Waynesboro,
Stitt Airport,Kittanning,
Motola's Paving Heliport,Lehighton,
Chero'kee Furko Heliport,Plum,
Cataney Airport,Midway,
Limerick Generating Station Heliport,Sanatoga,
Hilling International Airport,Huntingdon,
Deer Lakes Seaplane Base,Natrona Hgts,
Dunlea Airpark,New Alexandria,
St Francis Hospital Heliport,New Castle,
Jackson Airport,New Galilee,
Altemose Ultralightport,Malvern,
Kint Farm Heliport,Port Royal,
Jansen Vineyards Airport,Richfield,
Rocky Hollow Field,Strongstown,
Beers Farm Airport,Orbisona/Rockhill,
Hilltop Heliport,Troy,
Wilkes-Barre General Hosptial Heliport,Wilkes-Barre,
UPMC Northwest Heliport,Seneca,
Snyder Office Heliport,Kittanning,
600 Grant Street Rooftop Heliport,Pittsburgh,
Passavant Hospital Heliport,Pittsburgh,
West Penn Hospital Heliport,Pittsburgh,
Air One Enterprise Heliport,Harrisburg,
West Coplay Heliport,Whitehall,
Skunk Hollow Airport,Plumville,
Lake Arthur Field,Portersville,
Brandon Airport,Prospect,
Goodwill Fire Co Nr 1 Heliport,Minersville,
Hanover Township Fire Station #5 Heliport,Hanover Township,
Ridgway Heliport,Ridgway,
Ranch-Aero Airport,Roulette,
Sharretts Airport,Sabinsville,
Horne Airport,Scenery Hill,
Lackawannock Airport,Sharon,
Poplar Muni Airport,Poplar,
Point Lay LRRS Airport,Point Lay,PIZ
Passikudah Helipad,Batticaloa,PQD
Mona Airport,Mona Island,
Fort Allen Airport,Potala Pastillo,
Labadle Airport,Aceitunas,
Salinas Airport,Salinas,
[DELETE] Areopuerto Internacional Michael Gonzalez Figueroa,Adjuntas,
Dorado Beach Airport,Dorado,DDP
Humacao Airport,Humacao,HUC
